PRACTICE_ID,ORG_NPI,TOT_3PRD_PHYS,COMMON_SPEC_OVERALL1,SING_SPEC_FLAG,SING_SPEC_TYPE,PCP_SPEC_FOCUS_FLAG,COMMON_SPEC_PCP1,COMMON_SPEC_PCP2,COMMON_SPEC_PCP3,COMMON_SPEC_PCP4,COMMON_SPEC_PCP5,MED_SPEC_FLAG,COMMON_SPEC_MED1,COMMON_SPEC_MED2,COMMON_SPEC_MED3,COMMON_SPEC_MED4,COMMON_SPEC_MED5,SURG_SPEC_FLAG,COMMON_SPEC_SURG1,COMMON_SPEC_SURG2,COMMON_SPEC_SURG3,COMMON_SPEC_SURG4,COMMON_SPEC_SURG5,OBGYN_SPEC_FLAG,PSYCH_SPEC_FLAG,OTHR_SPEC_FLAG,STATE,ZIP_CD
7443,1336249135,3,Otolaryngology,1,Otolaryngology,0,,,,,,0,,,,,,1,Otolaryngology,,,,,0,0,0,CA,92011
9745,1932561198,2,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,91910
12952,1841267317,1,Pulmonary disease,1,Pulmonary disease,0,,,,,,1,Pulmonary disease,,,,,0,,,,,,0,0,0,CA,95252
18533,1144732595,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,92019
11504,1275931800,3,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,92612
24574,1730157215,10,Diagnostic radiology,1,Diagnostic radiology,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,91360
23271,1548286701,1,Dermatology,1,Dermatology,0,,,,,,1,Dermatology,,,,,0,,,,,,0,0,0,CA,93003
23926,1861791105,1,Nephrology,1,Nephrology,0,,,,,,1,Nephrology,,,,,0,,,,,,0,0,0,CA,91786
5600,1801199039,2,Plastic and reconstructive surgery,0,,0,,,,,,0,,,,,,1,Plastic and reconstructive surgery,Ophthalmology,,,,0,0,0,CA,90033
11129,1194136788,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,95825
19944,1437241635,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,90804
14202,1942368972,1,Optometrist,1,Optometrist,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,90272
23841,1629377452,2,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,93444
23463,1982800082,1,Optometrist,1,Optometrist,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,92880
25639,1467406660,1,Ophthalmology,1,Ophthalmology,0,,,,,,0,,,,,,1,Ophthalmology,,,,,0,0,0,CA,90212
13017,1144238510,1,Cardiology,1,Cardiology,0,,,,,,1,Cardiology,,,,,0,,,,,,0,0,0,CA,94509
8695,1871871723,9,Family practice,0,,1,Family practice,Internal medicine,,,,0,,,,,,0,,,,,,0,0,0,CA,92595
13093,1861446841,1,General practice,1,General practice,1,General practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,91406
20055,1003267196,208,Internal medicine,0,,1,Internal medicine,Family practice,Pediatric medicine,Hospice and Palliative Care,,1,Neurology,Gastroenterology,Cardiology,Endocrinology,Dermatology,1,General surgery,Neurosurgery,Plastic and reconstructive surgery,Urology,Surgical oncology,1,1,0,CA,94118
12716,1942309745,3,Rheumatology,1,Rheumatology,0,,,,,,1,Rheumatology,,,,,0,,,,,,0,0,0,CA,91722
11407,1053819508,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,90057
7914,1457668311,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,92307
8643,1629167747,1,Internal medicine,1,Internal medicine,1,Internal medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,94115
16372,1982645354,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,95324
14366,1184798498,1,Family practice,1,Family practice,1,Family practice,,,,,0,,,,,,0,,,,,,0,0,0,CA,95602
23283,1164641965,1,Pediatric medicine,1,Pediatric medicine,1,Pediatric medicine,,,,,0,,,,,,0,,,,,,0,0,0,CA,92073
16450,1558416065,1,Maxillofacial surgery,1,Maxillofacial surgery,0,,,,,,0,,,,,,0,,,,,,0,0,0,CA,95076
3779,1649253162,1,Neurology,1,Neurology,0,,,,,,1,Neurology,,,,,0,,,,,,0,0,0,CA,93401
7758,1376654756,1,Obstetrics/gynecology,1,Obstetrics/gynecology,0,,,,,,0,,,,,,0,,,,,,1,0,0,CA,92701
